,Atomic number,Symbol,Standard atomic weight,Electronegativity,cov_radius,vdw_radius2,at_radius,pold.2
0,1,H,1.007975,2.2,0.31,3.0404999999999998,0.529192875,4.50711
1,2,He,4.002602,–,0.28,2.362,0.291,1.38375
2,3,Li,6.9675,0.98,1.28,2.451,1.586,164.1125
3,4,Be,9.0121831,1.57,0.96,2.745,1.04,37.74
4,5,B,10.8135,2.04,0.84,4.0515,0.776,20.5
5,6,C,12.0106,2.55,0.7445337366,3.87465,0.62,11.3
6,7,N,14.006855,3.04,0.71,3.6610500000000004,0.521,7.4
7,8,O,15.9994,3.44,0.66,3.4523,0.45,5.3
8,9,F,18.99840316,3.98,0.57,3.418,0.396,3.74
9,10,Ne,20.1797,–,0.58,3.243,0.354,2.6611
10,11,Na,22.98976928,0.93,1.66,2.983,1.713,162.7
11,12,Mg,24.3055,1.31,1.41,3.021,1.279,71.2
12,13,Al,26.9815385,1.61,1.21,4.4445,1.312,57.8
13,14,Si,28.085,1.9,1.11,4.2825,1.068,37.3
14,15,P,30.973762,2.19,1.07,4.1485,0.919,25.0
15,16,S,32.0675,2.58,1.05,4.032500000000001,0.81,19.4
16,17,Cl,35.4515,3.16,1.02,3.9486499999999998,0.725,14.6
17,18,Ar,39.948,–,1.06,3.868,0.659,11.083
18,19,K,39.0983,0.82,2.03,3.812,2.162,289.7
19,20,Ca,40.078,1,1.76,3.399,1.69,160.8
20,21,Sc,44.955908,1.36,1.7,3.295,1.57,97.0
21,22,Ti,47.867,1.54,1.6,3.175,1.477,100.0
22,23,V,50.9415,1.63,1.53,3.144,1.401,87.0
23,24,Cr,51.9961,1.66,1.39,3.023,1.453,83.0
24,25,Mn,54.938044,1.55,1.553504,2.961,1.278,68.0
25,26,Fe,55.845,1.83,1.4841791045,2.912,1.227,62.0
26,27,Co,58.933194,1.88,1.2975449102,2.872,1.181,55.0
27,28,Ni,58.6934,1.91,1.24,2.834,1.139,49.0
28,29,Cu,63.546,1.9,1.32,3.495,1.191,46.5
29,30,Zn,65.38,1.65,1.22,2.763,1.065,38.67
30,31,Ga,69.723,1.81,1.22,4.3865,1.254,50.0
31,32,Ge,72.63,2.01,1.2,4.275,1.09,40.0
32,33,As,74.921595,2.18,1.19,4.19,1.001,30.0
33,34,Se,78.971,2.55,1.2,4.1175,0.918,28.9
34,35,Br,79.904,2.96,1.2,4.0695,0.851,21.0
35,36,Kr,83.798,3,1.16,4.141,0.795,16.78
36,37,Rb,85.4678,0.82,2.2,4.114,2.287,319.8
37,38,Sr,87.62,0.95,1.95,3.641,1.836,197.2
38,39,Y,88.90584,1.22,1.9,3.345,1.693,162.0
39,40,Zr,91.224,1.33,1.75,3.124,1.593,112.0
40,41,Nb,92.90637,1.6,1.64,3.165,1.589,98.0
41,42,Mo,95.95,2.16,1.54,3.052,1.52,87.0
42,43,Tc,97.9072124,1.9,1.47,2.998,1.391,79.0
43,44,Ru,101.07,2.2,1.46,2.963,1.41,72.0
44,45,Rh,102.9055,2.28,1.42,2.929,1.364,66.0
45,46,Pd,106.42,2.2,1.39,2.899,0.567,26.14
